epoch,train_loss,train_acc,val_loss,val_acc
1,2.3663765983581544,0.127125,2.1899457569122314,0.2135
2,2.1925862350463867,0.177875,1.986751727104187,0.2535
3,2.0726293497085573,0.20725,1.8819931211471557,0.288
4,1.9666539182662963,0.244875,1.7751888942718506,0.3505
5,1.8769097270965576,0.283375,1.721802152633667,0.3865
6,1.8014523658752442,0.311,1.6611923274993896,0.384
7,1.7607705612182618,0.325,1.5949076614379882,0.4165
8,1.6925986099243164,0.3525,1.5340220699310303,0.436
9,1.6668812894821168,0.3655,1.4837277822494508,0.4445
10,1.6136622638702394,0.395625,1.4833127355575562,0.451
11,1.600361894607544,0.404875,1.4512658681869506,0.455
12,1.5770203657150268,0.409375,1.4746085844039918,0.457
13,1.5311357517242432,0.427125,1.391929582595825,0.4685
14,1.5127242994308472,0.44225,1.3808485565185546,0.479
15,1.4787710723876952,0.453125,1.348266448020935,0.4955
16,1.4668557090759278,0.455125,1.310480031967163,0.52
17,1.4263052711486817,0.48125,1.298657657623291,0.515
18,1.4188410968780518,0.48125,1.2843230800628662,0.534
19,1.391331216812134,0.492125,1.243531805038452,0.5335
20,1.398694365501404,0.490375,1.2736051607131957,0.5385
21,1.3598378963470459,0.51075,1.1931950130462647,0.5515
22,1.3336083889007568,0.52275,1.1949836015701294,0.5705
23,1.3235606369972228,0.52775,1.1980339450836182,0.558
24,1.3116162748336793,0.5245,1.1560015850067138,0.581
25,1.297677721977234,0.534125,1.1746903429031372,0.584
26,1.2962174310684205,0.533,1.132109016418457,0.587
27,1.2789106435775757,0.547625,1.17564035320282,0.56
28,1.2455371503829955,0.55775,1.1050272846221925,0.6035
29,1.2441856927871704,0.55325,1.198659725189209,0.548
30,1.2308325901031494,0.563625,1.1007979078292847,0.611
