epoch,train_loss,train_acc,val_loss,val_acc
1,2.3312822227478027,0.123125,2.1965445652008055,0.2195
2,2.1665862426757814,0.18525,1.9643569660186768,0.2675
3,2.0429526224136354,0.22475,1.8402043962478638,0.313
4,1.9252955131530762,0.257125,1.707199634552002,0.356
5,1.8584562854766846,0.28225,1.7035389680862427,0.363
6,1.791851861000061,0.32125,1.6016253957748412,0.4095
7,1.7453712654113769,0.339375,1.6007526988983154,0.4065
8,1.7121016654968262,0.356625,1.660063075065613,0.395
9,1.6668388137817383,0.37225,1.499919425010681,0.441
10,1.624212579727173,0.39275,1.485907262802124,0.447
11,1.5901385984420777,0.41425,1.417166522026062,0.465
12,1.571039231300354,0.42125,1.4333511962890626,0.479
13,1.545768433570862,0.429125,1.3815200691223144,0.492
14,1.5213246355056762,0.437625,1.3452691316604615,0.507
15,1.4976265287399293,0.45275,1.3362318077087403,0.505
16,1.4890835247039795,0.45825,1.3736844606399536,0.4985
17,1.4587979555130004,0.471125,1.3492772312164307,0.5
18,1.4379939737319947,0.474875,1.2976701889038087,0.529
19,1.4231281108856202,0.483625,1.257336503982544,0.533
20,1.40137562084198,0.487875,1.2480350551605224,0.548
21,1.3845660572052,0.505875,1.2803714208602905,0.536
22,1.3727471857070923,0.505375,1.2299049139022826,0.5445
23,1.350637131690979,0.510625,1.2162304859161377,0.5475
24,1.3256383743286133,0.525375,1.191131580352783,0.567
25,1.3112784733772278,0.534375,1.1892025671005249,0.5685
26,1.2993100242614746,0.52975,1.1612063083648683,0.584
27,1.2811088705062865,0.539375,1.2000881290435792,0.5715
28,1.265988884449005,0.55275,1.218055627822876,0.5695
29,1.2569045224189759,0.561,1.1173248176574706,0.591
30,1.254253471851349,0.5585,1.1216110620498658,0.601
