epoch,train_loss,train_acc,val_loss,val_acc
1,4.641163105010986,0.265625,1.9780430850982667,0.3605
2,1.8162168493270874,0.38775,1.6359565143585204,0.4355
3,1.6373110046386719,0.4325,1.4764478816986084,0.4825
4,1.5449688749313355,0.453875,1.442884222984314,0.488
5,1.4797540483474731,0.48,1.409948519706726,0.498
6,1.441665813446045,0.48925,1.3332764930725098,0.519
7,1.4055719966888427,0.507875,1.2809793529510498,0.528
8,1.3661073522567748,0.521,1.2851700687408447,0.542
9,1.3414143857955934,0.53125,1.304437487602234,0.527
10,1.318606457233429,0.541875,1.2490885906219482,0.5505
11,1.2888795847892762,0.54675,1.2451941137313842,0.5605
12,1.2602414727210998,0.559125,1.2241293687820434,0.5645
13,1.2577814021110534,0.564125,1.1546187229156495,0.5895
14,1.2306737570762634,0.58075,1.1658165225982666,0.596
15,1.2120953059196473,0.57775,1.1354471035003662,0.593
16,1.198640678882599,0.5815,1.1457909212112427,0.606
17,1.1900586242675781,0.58475,1.1329462909698487,0.611
18,1.1824169130325317,0.591875,1.136530963897705,0.598
19,1.1730782871246337,0.594375,1.0971573715209961,0.6235
20,1.156477795124054,0.599375,1.1098536758422852,0.613
21,1.1551131358146667,0.597,1.1654085693359375,0.6065
22,1.1277140440940856,0.60825,1.0647510571479797,0.6255
23,1.1198353533744811,0.604125,1.0963514080047607,0.6225
24,1.117865324497223,0.617875,1.0822290029525756,0.632
25,1.0933168210983277,0.616375,1.130844994544983,0.6035
26,1.0897474570274353,0.628375,1.1269826202392579,0.6075
27,1.095228678703308,0.6165,1.1472623987197876,0.6005
28,1.082221001625061,0.62875,1.0718540225028992,0.632
29,1.0757358431816102,0.62425,1.052644787788391,0.6275
